AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win Set,Lose Set,Total Set,Win Lose,Game time,Home Away,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%
122,44,4,36.1,14.67,8,1,0,12.5,15,5.00,73,3,3,31,14.5,45,24.0,0.0,53.3,851,2014-11-15,2014,11,15,,上天草市大矢野総合体育館,PFUブルーキャッツ,仙台ベルフィーユ,寺廻太,金子健太郎,3,0,3,Win,75,Home,144,38,4,26.4,12.67,1,0,0,0.0,0,0.00,51,3,6,18,13.5,68,36.0,0.0,52.9
144,38,4,26.4,12.67,1,0,0,0.0,0,0.00,51,3,6,18,13.5,68,36.0,0.0,52.9,851,2014-11-15,2014,11,15,,上天草市大矢野総合体育館,仙台ベルフィーユ,PFUブルーキャッツ,葛和伸元,,0,3,3,Lose,75,Away,122,44,4,36.1,14.67,8,1,0,12.5,15,5.00,73,3,3,31,14.5,45,24.0,0.0,53.3
85,22,10,25.9,7.33,7,2,1,28.6,4,1.33,37,0,3,11,7.4,66,32.0,0.0,48.5,852,2014-11-15,2014,11,15,,上天草市大矢野総合体育館,フォレストリーヴズ熊本,JTマーヴェラス,中島裕二,福田みつ子,0,3,3,Lose,64,Home,98,47,5,48.0,15.67,7,2,1,28.6,8,2.67,74,5,5,30,15.8,34,23.0,0.0,67.6
98,47,5,48.0,15.67,7,2,1,28.6,8,2.67,74,5,5,30,15.8,34,23.0,0.0,67.6,852,2014-11-15,2014,11,15,,上天草市大矢野総合体育館,JTマーヴェラス,フォレストリーヴズ熊本,尾崎侯,北原勉,3,0,3,Win,64,Away,85,22,10,25.9,7.33,7,2,1,28.6,4,1.33,37,0,3,11,7.4,66,32.0,0.0,48.5
180,66,10,36.7,16.50,11,4,1,36.4,3,0.75,91,3,7,26,10.2,80,48.0,0.0,60.0,853,2014-11-16,2014,11,16,,宇城市松橋総合体育文化センター,GSS東京サンビームズ,トヨタ自動車ヴァルキューレ,笛木彰,,3,1,4,Win,105,Home,174,56,11,32.2,14.00,5,2,2,40.0,7,1.75,86,2,5,31,11.1,82,55.0,0.0,67.1
174,56,11,32.2,14.00,5,2,2,40.0,7,1.75,86,2,5,31,11.1,82,55.0,0.0,67.1,853,2014-11-16,2014,11,16,,宇城市松橋総合体育文化センター,トヨタ自動車ヴァルキューレ,GSS東京サンビームズ,加藤信也,金子健一郎,1,3,4,Lose,105,Away,180,66,10,36.7,16.50,11,4,1,36.4,3,0.75,91,3,7,26,10.2,80,48.0,0.0,60.0
114,51,3,44.7,17.00,3,0,0,0.0,8,2.67,73,0,2,25,8.6,56,27.0,0.0,48.2,854,2014-11-16,2014,11,16,,宇城市松橋総合体育文化センター,仙台ベルフィーユ,フォレストリーヴズ熊本,葛和伸元,,3,0,3,Win,76,Home,138,46,10,33.3,15.33,1,0,0,0.0,3,1.00,62,2,5,27,13.5,71,46.0,0.0,64.8
138,46,10,33.3,15.33,1,0,0,0.0,3,1.00,62,2,5,27,13.5,71,46.0,0.0,64.8,854,2014-11-16,2014,11,16,,宇城市松橋総合体育文化センター,フォレストリーヴズ熊本,仙台ベルフィーユ,中島裕二,福田みつ子,0,3,3,Lose,76,Away,114,51,3,44.7,17.00,3,0,0,0.0,8,2.67,73,0,2,25,8.6,56,27.0,0.0,48.2
185,71,3,38.4,17.75,7,2,1,28.6,2,0.50,91,0,4,28,7.7,88,56.0,0.0,63.6,855,2014-11-22,2014,11,22,,柏市中央体育館,JAぎふリオレーナ,大野石油広島オイラーズ,椿本真恵,,1,3,4,Lose,114,Home,178,69,8,38.8,17.25,2,1,0,50.0,10,2.50,92,5,3,28,12.2,87,59.0,0.0,67.8
178,69,8,38.8,17.25,2,1,0,50.0,10,2.50,92,5,3,28,12.2,87,59.0,0.0,67.8,855,2014-11-22,2014,11,22,,柏市中央体育館,大野石油広島オイラーズ,JAぎふリオレーナ,豆田憲昭,鈴木輝,3,1,4,Win,114,Away,185,71,3,38.4,17.75,7,2,1,28.6,2,0.50,91,0,4,28,7.7,88,56.0,0.0,63.6
